mass,weight,sample,role
126.035416,1.0,Data,data
222.71176,1.0,Data,data
184.04675,1.0,Data,data
94.47549,1.0,Data,data
288.8309,1.0,Data,data
424.21082,1.0,Data,data
113.23744,1.0,Data,data
263.1727,1.0,Data,data
802.7071,1.0,Data,data
252.67717,1.0,Data,data
310.45474,1.0,Data,data
283.69904,1.0,Data,data
300.07053,1.0,Data,data
94.084946,1.0,Data,data
354.5355,1.0,Data,data
333.55923,1.0,Data,data
99.20527,1.0,Data,data
198.24265,1.0,Data,data
249.57999,1.0,Data,data
180.20761,1.0,Data,data
248.0864,1.0,Data,data
217.98047,1.0,Data,data
155.07649,1.0,Data,data
189.0896,1.0,Data,data
216.0708,1.0,Data,data
286.8384,1.0,Data,data
390.6167,1.0,Data,data
198.97679,1.0,Data,data
196.47456,1.0,Data,data
126.13921,1.0,Data,data
210.02336,1.0,Data,data
471.61362,1.0,Data,data
340.60516,1.0,Data,data
225.65717,1.0,Data,data
237.3965,1.0,Data,data
254.29431,1.0,Data,data
122.79957,1.0,Data,data
737.78217,1.0,Data,data
187.75208,1.0,Data,data
773.5889,1.0,Data,data
232.29062,1.0,Data,data
114.964165,1.0,Data,data
373.42142,1.0,Data,data
257.27292,1.0,Data,data
231.70638,1.0,Data,data
309.5661,1.0,Data,data
206.30771,1.0,Data,data
390.88986,1.0,Data,data
266.26743,1.0,Data,data
415.42242,1.0,Data,data
165.90952,1.0,Data,data
207.29294,1.0,Data,data
115.68889,1.0,Data,data
92.731285,1.0,Data,data
355.94638,1.0,Data,data
87.35411,1.0,Data,data
334.81555,1.0,Data,data
323.77582,1.0,Data,data
258.8442,1.0,Data,data
164.84364,1.0,Data,data
283.9079,1.0,Data,data
264.6163,1.0,Data,data
126.76738,1.0,Data,data
122.14477,1.0,Data,data
178.30759,1.0,Data,data
309.5475,1.0,Data,data
396.88782,1.0,Data,data
249.6996,1.0,Data,data
258.76343,1.0,Data,data
396.6981,1.0,Data,data
211.77025,1.0,Data,data
237.0122,1.0,Data,data
676.5793,1.0,Data,data
222.48813,1.0,Data,data
203.54132,1.0,Data,data
203.20619,1.0,Data,data
98.63462,1.0,Data,data
207.3043,1.0,Data,data
139.99202,1.0,Data,data
697.39624,1.0,Data,data
200.64023,1.0,Data,data
187.88304,1.0,Data,data
119.24603,1.0,Data,data
425.56854,1.0,Data,data
126.15212,1.0,Data,data
256.40048,1.0,Data,data
445.4537,1.0,Data,data
301.84152,1.0,Data,data
92.7847,1.0,Data,data
178.50125,1.0,Data,data
201.72514,1.0,Data,data
